Scene number,Start,End,Keywords,Description
10,00:08:57.240,00:09:22.320,"Ủy viên Chính trị,đồng chí Tổng Bí thư Nguyễn Phú Trọng,Chủ tịch Quốc hội Vương Đình Huệ,tinh thần tiền,đồng chí Nguyễn Văn Nên,Quân khu 7 thăm,lần thứ 2,Đoàn đại biểu,Quốc hội Vương Đình Huệ,dự toán kinh phí,dịch Covid,bế mạc kỳ,bộ máy nhà nước,công tác tư tưởng,bệnh sửa đổi và 2 Nghị quyết,quy hoạch tổng thể quốc gia thời kỳ,lần thứ 13,Ủy ban Thường vụ Quốc hội,Tổng cục Thuế,Chương trình mục tiêu quốc gia,cử tri kết quả,Thủ tướng Chính phủ,độ ngân sách năm 2022,năm 2050,Tết Thành ủy,kinh tế chính trị xã hội,Năm 2023,Trung tướng Trần Hoài Trung,năm bản lề,đảmthực hiện,Ủy ban nhân dân,vị đại biểu Quốc hội,đại biểu tán thành,Bí thư Thành ủy thành phố Hồ Chí Minh","Trong phiên họp chiều nay, với đa số đại biểu tán thành, Quốc hội đã nhất trí thông qua Luật Khám bệnh, chữa bệnh sửa đổi và 2 Nghị quyết, gồm: Nghị quyết về quy hoạch tổng thể quốc gia thời kỳ 2021 2030, tầm nhìn đến năm 2050 và Nghị quyết về việc điều chỉnh kế hoạch vốn vay lại năm 2022 của các địa phương, bổ sung dự toán chi thường xuyên năm 2021 nguồn vốn viện trợ không hoàn lại của nước ngoài, điều chỉnh dự toán kinh phí chưa sử dụng hết năm 2021 của Tổng cục Thuế và Tổng cục Hải quan và việc chuyển nguồn kinh phí công tác phòng, chống dịch Covid 19 năm 2021 của các địa phương sang niên độ ngân sách năm 2022, phát biểu bế mạc kỳ họp nhấn mạnh: Năm 2023 là năm giữa nhiệm kỳ, năm bản lề, có ý nghĩa rất quan trọng trong việc thực hiện Nghị quyết Đại hội lần thứ 13 của Đảng và kế hoạch 5 năm 2021 2025, Chủ tịch Quốc hội Vương Đình Huệ yêu cầu trong thời gian tới, các cấp, các ngành tiếp tục hoàn thiện thể chế phát triển, tập trung tháo gỡ khó khăn, hỗ trợ sản xuất, kinh doanh kịp thời cho người dân, doanh nghiệp, kiến tạo các không gian phát triển và động lực tăng trưởng mới."
11,00:09:22.320,00:09:28.600,"Ủy viên Chính trị,đồng chí Tổng Bí thư Nguyễn Phú Trọng,Chủ tịch Quốc hội Vương Đình Huệ,tinh thần tiền,đồng chí Nguyễn Văn Nên,Quân khu 7 thăm,lần thứ 2,Đoàn đại biểu,Quốc hội Vương Đình Huệ,dự toán kinh phí,dịch Covid,bế mạc kỳ,bộ máy nhà nước,công tác tư tưởng,bệnh sửa đổi và 2 Nghị quyết,quy hoạch tổng thể quốc gia thời kỳ,lần thứ 13,Ủy ban Thường vụ Quốc hội,Tổng cục Thuế,Chương trình mục tiêu quốc gia,cử tri kết quả,Thủ tướng Chính phủ,độ ngân sách năm 2022,năm 2050,Tết Thành ủy,kinh tế chính trị xã hội,Năm 2023,Trung tướng Trần Hoài Trung,năm bản lề,đảmthực hiện,Ủy ban nhân dân,vị đại biểu Quốc hội,đại biểu tán thành,Bí thư Thành ủy thành phố Hồ Chí Minh","Trong phiên họp chiều nay, với đa số đại biểu tán thành, Quốc hội đã nhất trí thông qua Luật Khám bệnh, chữa bệnh sửa đổi và 2 Nghị quyết, gồm: Nghị quyết về quy hoạch tổng thể quốc gia thời kỳ 2021 2030, tầm nhìn đến năm 2050 và Nghị quyết về việc điều chỉnh kế hoạch vốn vay lại năm 2022 của các địa phương, bổ sung dự toán chi thường xuyên năm 2021 nguồn vốn viện trợ không hoàn lại của nước ngoài, điều chỉnh dự toán kinh phí chưa sử dụng hết năm 2021 của Tổng cục Thuế và Tổng cục Hải quan và việc chuyển nguồn kinh phí công tác phòng, chống dịch Covid 19 năm 2021 của các địa phương sang niên độ ngân sách năm 2022, phát biểu bế mạc kỳ họp nhấn mạnh: Năm 2023 là năm giữa nhiệm kỳ, năm bản lề, có ý nghĩa rất quan trọng trong việc thực hiện Nghị quyết Đại hội lần thứ 13 của Đảng và kế hoạch 5 năm 2021 2025, Chủ tịch Quốc hội Vương Đình Huệ yêu cầu trong thời gian tới, các cấp, các ngành tiếp tục hoàn thiện thể chế phát triển, tập trung tháo gỡ khó khăn, hỗ trợ sản xuất, kinh doanh kịp thời cho người dân, doanh nghiệp, kiến tạo các không gian phát triển và động lực tăng trưởng mới."
12,00:09:28.600,00:09:33.400,"Ủy viên Chính trị,đồng chí Tổng Bí thư Nguyễn Phú Trọng,Chủ tịch Quốc hội Vương Đình Huệ,tinh thần tiền,đồng chí Nguyễn Văn Nên,Quân khu 7 thăm,lần thứ 2,Đoàn đại biểu,Quốc hội Vương Đình Huệ,dự toán kinh phí,dịch Covid,bế mạc kỳ,bộ máy nhà nước,công tác tư tưởng,bệnh sửa đổi và 2 Nghị quyết,quy hoạch tổng thể quốc gia thời kỳ,lần thứ 13,Ủy ban Thường vụ Quốc hội,Tổng cục Thuế,Chương trình mục tiêu quốc gia,cử tri kết quả,Thủ tướng Chính phủ,độ ngân sách năm 2022,năm 2050,Tết Thành ủy,kinh tế chính trị xã hội,Năm 2023,Trung tướng Trần Hoài Trung,năm bản lề,đảmthực hiện,Ủy ban nhân dân,vị đại biểu Quốc hội,đại biểu tán thành,Bí thư Thành ủy thành phố Hồ Chí Minh","Trong phiên họp chiều nay, với đa số đại biểu tán thành, Quốc hội đã nhất trí thông qua Luật Khám bệnh, chữa bệnh sửa đổi và 2 Nghị quyết, gồm: Nghị quyết về quy hoạch tổng thể quốc gia thời kỳ 2021 2030, tầm nhìn đến năm 2050 và Nghị quyết về việc điều chỉnh kế hoạch vốn vay lại năm 2022 của các địa phương, bổ sung dự toán chi thường xuyên năm 2021 nguồn vốn viện trợ không hoàn lại của nước ngoài, điều chỉnh dự toán kinh phí chưa sử dụng hết năm 2021 của Tổng cục Thuế và Tổng cục Hải quan và việc chuyển nguồn kinh phí công tác phòng, chống dịch Covid 19 năm 2021 của các địa phương sang niên độ ngân sách năm 2022, phát biểu bế mạc kỳ họp nhấn mạnh: Năm 2023 là năm giữa nhiệm kỳ, năm bản lề, có ý nghĩa rất quan trọng trong việc thực hiện Nghị quyết Đại hội lần thứ 13 của Đảng và kế hoạch 5 năm 2021 2025, Chủ tịch Quốc hội Vương Đình Huệ yêu cầu trong thời gian tới, các cấp, các ngành tiếp tục hoàn thiện thể chế phát triển, tập trung tháo gỡ khó khăn, hỗ trợ sản xuất, kinh doanh kịp thời cho người dân, doanh nghiệp, kiến tạo các không gian phát triển và động lực tăng trưởng mới."
13,00:09:33.400,00:09:43.200,"Ủy viên Chính trị,đồng chí Tổng Bí thư Nguyễn Phú Trọng,Chủ tịch Quốc hội Vương Đình Huệ,tinh thần tiền,đồng chí Nguyễn Văn Nên,Quân khu 7 thăm,lần thứ 2,Đoàn đại biểu,Quốc hội Vương Đình Huệ,dự toán kinh phí,dịch Covid,bế mạc kỳ,bộ máy nhà nước,công tác tư tưởng,bệnh sửa đổi và 2 Nghị quyết,quy hoạch tổng thể quốc gia thời kỳ,lần thứ 13,Ủy ban Thường vụ Quốc hội,Tổng cục Thuế,Chương trình mục tiêu quốc gia,cử tri kết quả,Thủ tướng Chính phủ,độ ngân sách năm 2022,năm 2050,Tết Thành ủy,kinh tế chính trị xã hội,Năm 2023,Trung tướng Trần Hoài Trung,năm bản lề,đảmthực hiện,Ủy ban nhân dân,vị đại biểu Quốc hội,đại biểu tán thành,Bí thư Thành ủy thành phố Hồ Chí Minh","Trong phiên họp chiều nay, với đa số đại biểu tán thành, Quốc hội đã nhất trí thông qua Luật Khám bệnh, chữa bệnh sửa đổi và 2 Nghị quyết, gồm: Nghị quyết về quy hoạch tổng thể quốc gia thời kỳ 2021 2030, tầm nhìn đến năm 2050 và Nghị quyết về việc điều chỉnh kế hoạch vốn vay lại năm 2022 của các địa phương, bổ sung dự toán chi thường xuyên năm 2021 nguồn vốn viện trợ không hoàn lại của nước ngoài, điều chỉnh dự toán kinh phí chưa sử dụng hết năm 2021 của Tổng cục Thuế và Tổng cục Hải quan và việc chuyển nguồn kinh phí công tác phòng, chống dịch Covid 19 năm 2021 của các địa phương sang niên độ ngân sách năm 2022, phát biểu bế mạc kỳ họp nhấn mạnh: Năm 2023 là năm giữa nhiệm kỳ, năm bản lề, có ý nghĩa rất quan trọng trong việc thực hiện Nghị quyết Đại hội lần thứ 13 của Đảng và kế hoạch 5 năm 2021 2025, Chủ tịch Quốc hội Vương Đình Huệ yêu cầu trong thời gian tới, các cấp, các ngành tiếp tục hoàn thiện thể chế phát triển, tập trung tháo gỡ khó khăn, hỗ trợ sản xuất, kinh doanh kịp thời cho người dân, doanh nghiệp, kiến tạo các không gian phát triển và động lực tăng trưởng mới."
14,00:09:43.200,00:09:47.600,"Ủy viên Chính trị,đồng chí Tổng Bí thư Nguyễn Phú Trọng,Chủ tịch Quốc hội Vương Đình Huệ,tinh thần tiền,đồng chí Nguyễn Văn Nên,Quân khu 7 thăm,lần thứ 2,Đoàn đại biểu,Quốc hội Vương Đình Huệ,dự toán kinh phí,dịch Covid,bế mạc kỳ,bộ máy nhà nước,công tác tư tưởng,bệnh sửa đổi và 2 Nghị quyết,quy hoạch tổng thể quốc gia thời kỳ,lần thứ 13,Ủy ban Thường vụ Quốc hội,Tổng cục Thuế,Chương trình mục tiêu quốc gia,cử tri kết quả,Thủ tướng Chính phủ,độ ngân sách năm 2022,năm 2050,Tết Thành ủy,kinh tế chính trị xã hội,Năm 2023,Trung tướng Trần Hoài Trung,năm bản lề,đảmthực hiện,Ủy ban nhân dân,vị đại biểu Quốc hội,đại biểu tán thành,Bí thư Thành ủy thành phố Hồ Chí Minh","Trong phiên họp chiều nay, với đa số đại biểu tán thành, Quốc hội đã nhất trí thông qua Luật Khám bệnh, chữa bệnh sửa đổi và 2 Nghị quyết, gồm: Nghị quyết về quy hoạch tổng thể quốc gia thời kỳ 2021 2030, tầm nhìn đến năm 2050 và Nghị quyết về việc điều chỉnh kế hoạch vốn vay lại năm 2022 của các địa phương, bổ sung dự toán chi thường xuyên năm 2021 nguồn vốn viện trợ không hoàn lại của nước ngoài, điều chỉnh dự toán kinh phí chưa sử dụng hết năm 2021 của Tổng cục Thuế và Tổng cục Hải quan và việc chuyển nguồn kinh phí công tác phòng, chống dịch Covid 19 năm 2021 của các địa phương sang niên độ ngân sách năm 2022, phát biểu bế mạc kỳ họp nhấn mạnh: Năm 2023 là năm giữa nhiệm kỳ, năm bản lề, có ý nghĩa rất quan trọng trong việc thực hiện Nghị quyết Đại hội lần thứ 13 của Đảng và kế hoạch 5 năm 2021 2025, Chủ tịch Quốc hội Vương Đình Huệ yêu cầu trong thời gian tới, các cấp, các ngành tiếp tục hoàn thiện thể chế phát triển, tập trung tháo gỡ khó khăn, hỗ trợ sản xuất, kinh doanh kịp thời cho người dân, doanh nghiệp, kiến tạo các không gian phát triển và động lực tăng trưởng mới."
15,00:09:47.600,00:10:02.000,"Ủy viên Chính trị,đồng chí Tổng Bí thư Nguyễn Phú Trọng,Chủ tịch Quốc hội Vương Đình Huệ,tinh thần tiền,đồng chí Nguyễn Văn Nên,Quân khu 7 thăm,lần thứ 2,Đoàn đại biểu,Quốc hội Vương Đình Huệ,dự toán kinh phí,dịch Covid,bế mạc kỳ,bộ máy nhà nước,công tác tư tưởng,bệnh sửa đổi và 2 Nghị quyết,quy hoạch tổng thể quốc gia thời kỳ,lần thứ 13,Ủy ban Thường vụ Quốc hội,Tổng cục Thuế,Chương trình mục tiêu quốc gia,cử tri kết quả,Thủ tướng Chính phủ,độ ngân sách năm 2022,năm 2050,Tết Thành ủy,kinh tế chính trị xã hội,Năm 2023,Trung tướng Trần Hoài Trung,năm bản lề,đảmthực hiện,Ủy ban nhân dân,vị đại biểu Quốc hội,đại biểu tán thành,Bí thư Thành ủy thành phố Hồ Chí Minh","Trong phiên họp chiều nay, với đa số đại biểu tán thành, Quốc hội đã nhất trí thông qua Luật Khám bệnh, chữa bệnh sửa đổi và 2 Nghị quyết, gồm: Nghị quyết về quy hoạch tổng thể quốc gia thời kỳ 2021 2030, tầm nhìn đến năm 2050 và Nghị quyết về việc điều chỉnh kế hoạch vốn vay lại năm 2022 của các địa phương, bổ sung dự toán chi thường xuyên năm 2021 nguồn vốn viện trợ không hoàn lại của nước ngoài, điều chỉnh dự toán kinh phí chưa sử dụng hết năm 2021 của Tổng cục Thuế và Tổng cục Hải quan và việc chuyển nguồn kinh phí công tác phòng, chống dịch Covid 19 năm 2021 của các địa phương sang niên độ ngân sách năm 2022, phát biểu bế mạc kỳ họp nhấn mạnh: Năm 2023 là năm giữa nhiệm kỳ, năm bản lề, có ý nghĩa rất quan trọng trong việc thực hiện Nghị quyết Đại hội lần thứ 13 của Đảng và kế hoạch 5 năm 2021 2025, Chủ tịch Quốc hội Vương Đình Huệ yêu cầu trong thời gian tới, các cấp, các ngành tiếp tục hoàn thiện thể chế phát triển, tập trung tháo gỡ khó khăn, hỗ trợ sản xuất, kinh doanh kịp thời cho người dân, doanh nghiệp, kiến tạo các không gian phát triển và động lực tăng trưởng mới."
16,00:10:02.000,00:10:06.920,"Ủy viên Chính trị,đồng chí Tổng Bí thư Nguyễn Phú Trọng,Chủ tịch Quốc hội Vương Đình Huệ,tinh thần tiền,đồng chí Nguyễn Văn Nên,Quân khu 7 thăm,lần thứ 2,Đoàn đại biểu,Quốc hội Vương Đình Huệ,dự toán kinh phí,dịch Covid,bế mạc kỳ,bộ máy nhà nước,công tác tư tưởng,bệnh sửa đổi và 2 Nghị quyết,quy hoạch tổng thể quốc gia thời kỳ,lần thứ 13,Ủy ban Thường vụ Quốc hội,Tổng cục Thuế,Chương trình mục tiêu quốc gia,cử tri kết quả,Thủ tướng Chính phủ,độ ngân sách năm 2022,năm 2050,Tết Thành ủy,kinh tế chính trị xã hội,Năm 2023,Trung tướng Trần Hoài Trung,năm bản lề,đảmthực hiện,Ủy ban nhân dân,vị đại biểu Quốc hội,đại biểu tán thành,Bí thư Thành ủy thành phố Hồ Chí Minh","Trong phiên họp chiều nay, với đa số đại biểu tán thành, Quốc hội đã nhất trí thông qua Luật Khám bệnh, chữa bệnh sửa đổi và 2 Nghị quyết, gồm: Nghị quyết về quy hoạch tổng thể quốc gia thời kỳ 2021 2030, tầm nhìn đến năm 2050 và Nghị quyết về việc điều chỉnh kế hoạch vốn vay lại năm 2022 của các địa phương, bổ sung dự toán chi thường xuyên năm 2021 nguồn vốn viện trợ không hoàn lại của nước ngoài, điều chỉnh dự toán kinh phí chưa sử dụng hết năm 2021 của Tổng cục Thuế và Tổng cục Hải quan và việc chuyển nguồn kinh phí công tác phòng, chống dịch Covid 19 năm 2021 của các địa phương sang niên độ ngân sách năm 2022, phát biểu bế mạc kỳ họp nhấn mạnh: Năm 2023 là năm giữa nhiệm kỳ, năm bản lề, có ý nghĩa rất quan trọng trong việc thực hiện Nghị quyết Đại hội lần thứ 13 của Đảng và kế hoạch 5 năm 2021 2025, Chủ tịch Quốc hội Vương Đình Huệ yêu cầu trong thời gian tới, các cấp, các ngành tiếp tục hoàn thiện thể chế phát triển, tập trung tháo gỡ khó khăn, hỗ trợ sản xuất, kinh doanh kịp thời cho người dân, doanh nghiệp, kiến tạo các không gian phát triển và động lực tăng trưởng mới."
17,00:10:06.920,00:10:12.400,"Ủy viên Chính trị,đồng chí Tổng Bí thư Nguyễn Phú Trọng,Chủ tịch Quốc hội Vương Đình Huệ,tinh thần tiền,đồng chí Nguyễn Văn Nên,Quân khu 7 thăm,lần thứ 2,Đoàn đại biểu,Quốc hội Vương Đình Huệ,dự toán kinh phí,dịch Covid,bế mạc kỳ,bộ máy nhà nước,công tác tư tưởng,bệnh sửa đổi và 2 Nghị quyết,quy hoạch tổng thể quốc gia thời kỳ,lần thứ 13,Ủy ban Thường vụ Quốc hội,Tổng cục Thuế,Chương trình mục tiêu quốc gia,cử tri kết quả,Thủ tướng Chính phủ,độ ngân sách năm 2022,năm 2050,Tết Thành ủy,kinh tế chính trị xã hội,Năm 2023,Trung tướng Trần Hoài Trung,năm bản lề,đảmthực hiện,Ủy ban nhân dân,vị đại biểu Quốc hội,đại biểu tán thành,Bí thư Thành ủy thành phố Hồ Chí Minh","Trong phiên họp chiều nay, với đa số đại biểu tán thành, Quốc hội đã nhất trí thông qua Luật Khám bệnh, chữa bệnh sửa đổi và 2 Nghị quyết, gồm: Nghị quyết về quy hoạch tổng thể quốc gia thời kỳ 2021 2030, tầm nhìn đến năm 2050 và Nghị quyết về việc điều chỉnh kế hoạch vốn vay lại năm 2022 của các địa phương, bổ sung dự toán chi thường xuyên năm 2021 nguồn vốn viện trợ không hoàn lại của nước ngoài, điều chỉnh dự toán kinh phí chưa sử dụng hết năm 2021 của Tổng cục Thuế và Tổng cục Hải quan và việc chuyển nguồn kinh phí công tác phòng, chống dịch Covid 19 năm 2021 của các địa phương sang niên độ ngân sách năm 2022, phát biểu bế mạc kỳ họp nhấn mạnh: Năm 2023 là năm giữa nhiệm kỳ, năm bản lề, có ý nghĩa rất quan trọng trong việc thực hiện Nghị quyết Đại hội lần thứ 13 của Đảng và kế hoạch 5 năm 2021 2025, Chủ tịch Quốc hội Vương Đình Huệ yêu cầu trong thời gian tới, các cấp, các ngành tiếp tục hoàn thiện thể chế phát triển, tập trung tháo gỡ khó khăn, hỗ trợ sản xuất, kinh doanh kịp thời cho người dân, doanh nghiệp, kiến tạo các không gian phát triển và động lực tăng trưởng mới."
18,00:10:12.400,00:10:24.720,"Ủy viên Chính trị,đồng chí Tổng Bí thư Nguyễn Phú Trọng,Chủ tịch Quốc hội Vương Đình Huệ,tinh thần tiền,đồng chí Nguyễn Văn Nên,Quân khu 7 thăm,lần thứ 2,Đoàn đại biểu,Quốc hội Vương Đình Huệ,dự toán kinh phí,dịch Covid,bế mạc kỳ,bộ máy nhà nước,công tác tư tưởng,bệnh sửa đổi và 2 Nghị quyết,quy hoạch tổng thể quốc gia thời kỳ,lần thứ 13,Ủy ban Thường vụ Quốc hội,Tổng cục Thuế,Chương trình mục tiêu quốc gia,cử tri kết quả,Thủ tướng Chính phủ,độ ngân sách năm 2022,năm 2050,Tết Thành ủy,kinh tế chính trị xã hội,Năm 2023,Trung tướng Trần Hoài Trung,năm bản lề,đảmthực hiện,Ủy ban nhân dân,vị đại biểu Quốc hội,đại biểu tán thành,Bí thư Thành ủy thành phố Hồ Chí Minh","Trong phiên họp chiều nay, với đa số đại biểu tán thành, Quốc hội đã nhất trí thông qua Luật Khám bệnh, chữa bệnh sửa đổi và 2 Nghị quyết, gồm: Nghị quyết về quy hoạch tổng thể quốc gia thời kỳ 2021 2030, tầm nhìn đến năm 2050 và Nghị quyết về việc điều chỉnh kế hoạch vốn vay lại năm 2022 của các địa phương, bổ sung dự toán chi thường xuyên năm 2021 nguồn vốn viện trợ không hoàn lại của nước ngoài, điều chỉnh dự toán kinh phí chưa sử dụng hết năm 2021 của Tổng cục Thuế và Tổng cục Hải quan và việc chuyển nguồn kinh phí công tác phòng, chống dịch Covid 19 năm 2021 của các địa phương sang niên độ ngân sách năm 2022, phát biểu bế mạc kỳ họp nhấn mạnh: Năm 2023 là năm giữa nhiệm kỳ, năm bản lề, có ý nghĩa rất quan trọng trong việc thực hiện Nghị quyết Đại hội lần thứ 13 của Đảng và kế hoạch 5 năm 2021 2025, Chủ tịch Quốc hội Vương Đình Huệ yêu cầu trong thời gian tới, các cấp, các ngành tiếp tục hoàn thiện thể chế phát triển, tập trung tháo gỡ khó khăn, hỗ trợ sản xuất, kinh doanh kịp thời cho người dân, doanh nghiệp, kiến tạo các không gian phát triển và động lực tăng trưởng mới."
19,00:10:24.720,00:10:31.800,"Ủy viên Chính trị,đồng chí Tổng Bí thư Nguyễn Phú Trọng,Chủ tịch Quốc hội Vương Đình Huệ,tinh thần tiền,đồng chí Nguyễn Văn Nên,Quân khu 7 thăm,lần thứ 2,Đoàn đại biểu,Quốc hội Vương Đình Huệ,dự toán kinh phí,dịch Covid,bế mạc kỳ,bộ máy nhà nước,công tác tư tưởng,bệnh sửa đổi và 2 Nghị quyết,quy hoạch tổng thể quốc gia thời kỳ,lần thứ 13,Ủy ban Thường vụ Quốc hội,Tổng cục Thuế,Chương trình mục tiêu quốc gia,cử tri kết quả,Thủ tướng Chính phủ,độ ngân sách năm 2022,năm 2050,Tết Thành ủy,kinh tế chính trị xã hội,Năm 2023,Trung tướng Trần Hoài Trung,năm bản lề,đảmthực hiện,Ủy ban nhân dân,vị đại biểu Quốc hội,đại biểu tán thành,Bí thư Thành ủy thành phố Hồ Chí Minh","Trong phiên họp chiều nay, với đa số đại biểu tán thành, Quốc hội đã nhất trí thông qua Luật Khám bệnh, chữa bệnh sửa đổi và 2 Nghị quyết, gồm: Nghị quyết về quy hoạch tổng thể quốc gia thời kỳ 2021 2030, tầm nhìn đến năm 2050 và Nghị quyết về việc điều chỉnh kế hoạch vốn vay lại năm 2022 của các địa phương, bổ sung dự toán chi thường xuyên năm 2021 nguồn vốn viện trợ không hoàn lại của nước ngoài, điều chỉnh dự toán kinh phí chưa sử dụng hết năm 2021 của Tổng cục Thuế và Tổng cục Hải quan và việc chuyển nguồn kinh phí công tác phòng, chống dịch Covid 19 năm 2021 của các địa phương sang niên độ ngân sách năm 2022, phát biểu bế mạc kỳ họp nhấn mạnh: Năm 2023 là năm giữa nhiệm kỳ, năm bản lề, có ý nghĩa rất quan trọng trong việc thực hiện Nghị quyết Đại hội lần thứ 13 của Đảng và kế hoạch 5 năm 2021 2025, Chủ tịch Quốc hội Vương Đình Huệ yêu cầu trong thời gian tới, các cấp, các ngành tiếp tục hoàn thiện thể chế phát triển, tập trung tháo gỡ khó khăn, hỗ trợ sản xuất, kinh doanh kịp thời cho người dân, doanh nghiệp, kiến tạo các không gian phát triển và động lực tăng trưởng mới."
20,00:10:31.800,00:10:38.920,"Ủy viên Chính trị,đồng chí Tổng Bí thư Nguyễn Phú Trọng,Chủ tịch Quốc hội Vương Đình Huệ,tinh thần tiền,đồng chí Nguyễn Văn Nên,Quân khu 7 thăm,lần thứ 2,Đoàn đại biểu,Quốc hội Vương Đình Huệ,dự toán kinh phí,dịch Covid,bế mạc kỳ,bộ máy nhà nước,công tác tư tưởng,bệnh sửa đổi và 2 Nghị quyết,quy hoạch tổng thể quốc gia thời kỳ,lần thứ 13,Ủy ban Thường vụ Quốc hội,Tổng cục Thuế,Chương trình mục tiêu quốc gia,cử tri kết quả,Thủ tướng Chính phủ,độ ngân sách năm 2022,năm 2050,Tết Thành ủy,kinh tế chính trị xã hội,Năm 2023,Trung tướng Trần Hoài Trung,năm bản lề,đảmthực hiện,Ủy ban nhân dân,vị đại biểu Quốc hội,đại biểu tán thành,Bí thư Thành ủy thành phố Hồ Chí Minh","Trong phiên họp chiều nay, với đa số đại biểu tán thành, Quốc hội đã nhất trí thông qua Luật Khám bệnh, chữa bệnh sửa đổi và 2 Nghị quyết, gồm: Nghị quyết về quy hoạch tổng thể quốc gia thời kỳ 2021 2030, tầm nhìn đến năm 2050 và Nghị quyết về việc điều chỉnh kế hoạch vốn vay lại năm 2022 của các địa phương, bổ sung dự toán chi thường xuyên năm 2021 nguồn vốn viện trợ không hoàn lại của nước ngoài, điều chỉnh dự toán kinh phí chưa sử dụng hết năm 2021 của Tổng cục Thuế và Tổng cục Hải quan và việc chuyển nguồn kinh phí công tác phòng, chống dịch Covid 19 năm 2021 của các địa phương sang niên độ ngân sách năm 2022, phát biểu bế mạc kỳ họp nhấn mạnh: Năm 2023 là năm giữa nhiệm kỳ, năm bản lề, có ý nghĩa rất quan trọng trong việc thực hiện Nghị quyết Đại hội lần thứ 13 của Đảng và kế hoạch 5 năm 2021 2025, Chủ tịch Quốc hội Vương Đình Huệ yêu cầu trong thời gian tới, các cấp, các ngành tiếp tục hoàn thiện thể chế phát triển, tập trung tháo gỡ khó khăn, hỗ trợ sản xuất, kinh doanh kịp thời cho người dân, doanh nghiệp, kiến tạo các không gian phát triển và động lực tăng trưởng mới."
