Scene number,Start,End,Keywords,Description
14,00:06:19.960,00:06:24.240,"Đoàn Thanh niên Cộng sản Hồ Chí Minh thành phố,tên Bác Hồ kính yêu,thanh niên thành phố,Thay mặt lãnh đạo thành phố,Hội đồng bình chọn,thành phố Hồ Chí Minh ngày mai trí tuệ,cuộc sống bình yên,dân tộc Việt Nam,ý chí nghị lực,Chủ tịch Hội đồng nhân dân thành phố Hồ Chí Minh Nguyễn Thị Lệ,trách nhiệm giám nghị,thành phố Hồ Chí Minh năm 2022 đại diện,địa bàn thành phố,Lãnh đạo thành phố,thành phố Hồ Chí Minh,gương công dân,112 hồ sơ,công dân trẻ","từ 112 hồ sơ ứng cử đến từ 43 đơn vị trên địa bàn thành phố, Hội đồng bình chọn đã thống nhất chọn 12 cá nhân tiêu biểu trở thành công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 Các gương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 đại diện cho một thế hệ trẻ thành phố khát vọng, bản lĩnh, không ngừng đổi mới, sáng tạo trong lĩnh vực học tập, nghiên cứu khoa học, lao động, trách nhiệm giám nghị, biết làm dấn thân vì cộng đồng, vì cuộc sống bình yên của nhân dân với khát vọng vươn lên và kiên trì theo đuổi ước mơ, các bạn trẻ đã góp phần xây dựng thành phố có chất lượng sống tốt, văn minh, hiện đại, nghĩa tình."
15,00:06:24.240,00:06:29.240,"Đoàn Thanh niên Cộng sản Hồ Chí Minh thành phố,tên Bác Hồ kính yêu,thanh niên thành phố,Thay mặt lãnh đạo thành phố,Hội đồng bình chọn,thành phố Hồ Chí Minh ngày mai trí tuệ,cuộc sống bình yên,dân tộc Việt Nam,ý chí nghị lực,Chủ tịch Hội đồng nhân dân thành phố Hồ Chí Minh Nguyễn Thị Lệ,trách nhiệm giám nghị,thành phố Hồ Chí Minh năm 2022 đại diện,địa bàn thành phố,Lãnh đạo thành phố,thành phố Hồ Chí Minh,gương công dân,112 hồ sơ,công dân trẻ","từ 112 hồ sơ ứng cử đến từ 43 đơn vị trên địa bàn thành phố, Hội đồng bình chọn đã thống nhất chọn 12 cá nhân tiêu biểu trở thành công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 Các gương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 đại diện cho một thế hệ trẻ thành phố khát vọng, bản lĩnh, không ngừng đổi mới, sáng tạo trong lĩnh vực học tập, nghiên cứu khoa học, lao động, trách nhiệm giám nghị, biết làm dấn thân vì cộng đồng, vì cuộc sống bình yên của nhân dân với khát vọng vươn lên và kiên trì theo đuổi ước mơ, các bạn trẻ đã góp phần xây dựng thành phố có chất lượng sống tốt, văn minh, hiện đại, nghĩa tình."
16,00:06:29.240,00:06:33.840,"Đoàn Thanh niên Cộng sản Hồ Chí Minh thành phố,tên Bác Hồ kính yêu,thanh niên thành phố,Thay mặt lãnh đạo thành phố,Hội đồng bình chọn,thành phố Hồ Chí Minh ngày mai trí tuệ,cuộc sống bình yên,dân tộc Việt Nam,ý chí nghị lực,Chủ tịch Hội đồng nhân dân thành phố Hồ Chí Minh Nguyễn Thị Lệ,trách nhiệm giám nghị,thành phố Hồ Chí Minh năm 2022 đại diện,địa bàn thành phố,Lãnh đạo thành phố,thành phố Hồ Chí Minh,gương công dân,112 hồ sơ,công dân trẻ","từ 112 hồ sơ ứng cử đến từ 43 đơn vị trên địa bàn thành phố, Hội đồng bình chọn đã thống nhất chọn 12 cá nhân tiêu biểu trở thành công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 Các gương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 đại diện cho một thế hệ trẻ thành phố khát vọng, bản lĩnh, không ngừng đổi mới, sáng tạo trong lĩnh vực học tập, nghiên cứu khoa học, lao động, trách nhiệm giám nghị, biết làm dấn thân vì cộng đồng, vì cuộc sống bình yên của nhân dân với khát vọng vươn lên và kiên trì theo đuổi ước mơ, các bạn trẻ đã góp phần xây dựng thành phố có chất lượng sống tốt, văn minh, hiện đại, nghĩa tình."
17,00:06:33.840,00:06:39.440,"Đoàn Thanh niên Cộng sản Hồ Chí Minh thành phố,tên Bác Hồ kính yêu,thanh niên thành phố,Thay mặt lãnh đạo thành phố,Hội đồng bình chọn,thành phố Hồ Chí Minh ngày mai trí tuệ,cuộc sống bình yên,dân tộc Việt Nam,ý chí nghị lực,Chủ tịch Hội đồng nhân dân thành phố Hồ Chí Minh Nguyễn Thị Lệ,trách nhiệm giám nghị,thành phố Hồ Chí Minh năm 2022 đại diện,địa bàn thành phố,Lãnh đạo thành phố,thành phố Hồ Chí Minh,gương công dân,112 hồ sơ,công dân trẻ","từ 112 hồ sơ ứng cử đến từ 43 đơn vị trên địa bàn thành phố, Hội đồng bình chọn đã thống nhất chọn 12 cá nhân tiêu biểu trở thành công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 Các gương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 đại diện cho một thế hệ trẻ thành phố khát vọng, bản lĩnh, không ngừng đổi mới, sáng tạo trong lĩnh vực học tập, nghiên cứu khoa học, lao động, trách nhiệm giám nghị, biết làm dấn thân vì cộng đồng, vì cuộc sống bình yên của nhân dân với khát vọng vươn lên và kiên trì theo đuổi ước mơ, các bạn trẻ đã góp phần xây dựng thành phố có chất lượng sống tốt, văn minh, hiện đại, nghĩa tình."
18,00:06:39.440,00:06:44.240,"Đoàn Thanh niên Cộng sản Hồ Chí Minh thành phố,tên Bác Hồ kính yêu,thanh niên thành phố,Thay mặt lãnh đạo thành phố,Hội đồng bình chọn,thành phố Hồ Chí Minh ngày mai trí tuệ,cuộc sống bình yên,dân tộc Việt Nam,ý chí nghị lực,Chủ tịch Hội đồng nhân dân thành phố Hồ Chí Minh Nguyễn Thị Lệ,trách nhiệm giám nghị,thành phố Hồ Chí Minh năm 2022 đại diện,địa bàn thành phố,Lãnh đạo thành phố,thành phố Hồ Chí Minh,gương công dân,112 hồ sơ,công dân trẻ","từ 112 hồ sơ ứng cử đến từ 43 đơn vị trên địa bàn thành phố, Hội đồng bình chọn đã thống nhất chọn 12 cá nhân tiêu biểu trở thành công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 Các gương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 đại diện cho một thế hệ trẻ thành phố khát vọng, bản lĩnh, không ngừng đổi mới, sáng tạo trong lĩnh vực học tập, nghiên cứu khoa học, lao động, trách nhiệm giám nghị, biết làm dấn thân vì cộng đồng, vì cuộc sống bình yên của nhân dân với khát vọng vươn lên và kiên trì theo đuổi ước mơ, các bạn trẻ đã góp phần xây dựng thành phố có chất lượng sống tốt, văn minh, hiện đại, nghĩa tình."
19,00:06:44.240,00:06:51.160,"Đoàn Thanh niên Cộng sản Hồ Chí Minh thành phố,tên Bác Hồ kính yêu,thanh niên thành phố,Thay mặt lãnh đạo thành phố,Hội đồng bình chọn,thành phố Hồ Chí Minh ngày mai trí tuệ,cuộc sống bình yên,dân tộc Việt Nam,ý chí nghị lực,Chủ tịch Hội đồng nhân dân thành phố Hồ Chí Minh Nguyễn Thị Lệ,trách nhiệm giám nghị,thành phố Hồ Chí Minh năm 2022 đại diện,địa bàn thành phố,Lãnh đạo thành phố,thành phố Hồ Chí Minh,gương công dân,112 hồ sơ,công dân trẻ","từ 112 hồ sơ ứng cử đến từ 43 đơn vị trên địa bàn thành phố, Hội đồng bình chọn đã thống nhất chọn 12 cá nhân tiêu biểu trở thành công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 Các gương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 đại diện cho một thế hệ trẻ thành phố khát vọng, bản lĩnh, không ngừng đổi mới, sáng tạo trong lĩnh vực học tập, nghiên cứu khoa học, lao động, trách nhiệm giám nghị, biết làm dấn thân vì cộng đồng, vì cuộc sống bình yên của nhân dân với khát vọng vươn lên và kiên trì theo đuổi ước mơ, các bạn trẻ đã góp phần xây dựng thành phố có chất lượng sống tốt, văn minh, hiện đại, nghĩa tình."
20,00:06:51.160,00:06:57.280,"Đoàn Thanh niên Cộng sản Hồ Chí Minh thành phố,tên Bác Hồ kính yêu,thanh niên thành phố,Thay mặt lãnh đạo thành phố,Hội đồng bình chọn,thành phố Hồ Chí Minh ngày mai trí tuệ,cuộc sống bình yên,dân tộc Việt Nam,ý chí nghị lực,Chủ tịch Hội đồng nhân dân thành phố Hồ Chí Minh Nguyễn Thị Lệ,trách nhiệm giám nghị,thành phố Hồ Chí Minh năm 2022 đại diện,địa bàn thành phố,Lãnh đạo thành phố,thành phố Hồ Chí Minh,gương công dân,112 hồ sơ,công dân trẻ","từ 112 hồ sơ ứng cử đến từ 43 đơn vị trên địa bàn thành phố, Hội đồng bình chọn đã thống nhất chọn 12 cá nhân tiêu biểu trở thành công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 Các gương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 đại diện cho một thế hệ trẻ thành phố khát vọng, bản lĩnh, không ngừng đổi mới, sáng tạo trong lĩnh vực học tập, nghiên cứu khoa học, lao động, trách nhiệm giám nghị, biết làm dấn thân vì cộng đồng, vì cuộc sống bình yên của nhân dân với khát vọng vươn lên và kiên trì theo đuổi ước mơ, các bạn trẻ đã góp phần xây dựng thành phố có chất lượng sống tốt, văn minh, hiện đại, nghĩa tình."
21,00:06:57.280,00:07:02.120,"Đoàn Thanh niên Cộng sản Hồ Chí Minh thành phố,tên Bác Hồ kính yêu,thanh niên thành phố,Thay mặt lãnh đạo thành phố,Hội đồng bình chọn,thành phố Hồ Chí Minh ngày mai trí tuệ,cuộc sống bình yên,dân tộc Việt Nam,ý chí nghị lực,Chủ tịch Hội đồng nhân dân thành phố Hồ Chí Minh Nguyễn Thị Lệ,trách nhiệm giám nghị,thành phố Hồ Chí Minh năm 2022 đại diện,địa bàn thành phố,Lãnh đạo thành phố,thành phố Hồ Chí Minh,gương công dân,112 hồ sơ,công dân trẻ","từ 112 hồ sơ ứng cử đến từ 43 đơn vị trên địa bàn thành phố, Hội đồng bình chọn đã thống nhất chọn 12 cá nhân tiêu biểu trở thành công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 Các gương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 đại diện cho một thế hệ trẻ thành phố khát vọng, bản lĩnh, không ngừng đổi mới, sáng tạo trong lĩnh vực học tập, nghiên cứu khoa học, lao động, trách nhiệm giám nghị, biết làm dấn thân vì cộng đồng, vì cuộc sống bình yên của nhân dân với khát vọng vươn lên và kiên trì theo đuổi ước mơ, các bạn trẻ đã góp phần xây dựng thành phố có chất lượng sống tốt, văn minh, hiện đại, nghĩa tình."
22,00:07:02.120,00:07:06.560,"Đoàn Thanh niên Cộng sản Hồ Chí Minh thành phố,tên Bác Hồ kính yêu,thanh niên thành phố,Thay mặt lãnh đạo thành phố,Hội đồng bình chọn,thành phố Hồ Chí Minh ngày mai trí tuệ,cuộc sống bình yên,dân tộc Việt Nam,ý chí nghị lực,Chủ tịch Hội đồng nhân dân thành phố Hồ Chí Minh Nguyễn Thị Lệ,trách nhiệm giám nghị,thành phố Hồ Chí Minh năm 2022 đại diện,địa bàn thành phố,Lãnh đạo thành phố,thành phố Hồ Chí Minh,gương công dân,112 hồ sơ,công dân trẻ","từ 112 hồ sơ ứng cử đến từ 43 đơn vị trên địa bàn thành phố, Hội đồng bình chọn đã thống nhất chọn 12 cá nhân tiêu biểu trở thành công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 Các gương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 đại diện cho một thế hệ trẻ thành phố khát vọng, bản lĩnh, không ngừng đổi mới, sáng tạo trong lĩnh vực học tập, nghiên cứu khoa học, lao động, trách nhiệm giám nghị, biết làm dấn thân vì cộng đồng, vì cuộc sống bình yên của nhân dân với khát vọng vươn lên và kiên trì theo đuổi ước mơ, các bạn trẻ đã góp phần xây dựng thành phố có chất lượng sống tốt, văn minh, hiện đại, nghĩa tình."
23,00:07:06.560,00:07:11.440,"Đoàn Thanh niên Cộng sản Hồ Chí Minh thành phố,tên Bác Hồ kính yêu,thanh niên thành phố,Thay mặt lãnh đạo thành phố,Hội đồng bình chọn,thành phố Hồ Chí Minh ngày mai trí tuệ,cuộc sống bình yên,dân tộc Việt Nam,ý chí nghị lực,Chủ tịch Hội đồng nhân dân thành phố Hồ Chí Minh Nguyễn Thị Lệ,trách nhiệm giám nghị,thành phố Hồ Chí Minh năm 2022 đại diện,địa bàn thành phố,Lãnh đạo thành phố,thành phố Hồ Chí Minh,gương công dân,112 hồ sơ,công dân trẻ","từ 112 hồ sơ ứng cử đến từ 43 đơn vị trên địa bàn thành phố, Hội đồng bình chọn đã thống nhất chọn 12 cá nhân tiêu biểu trở thành công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 Các gương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 đại diện cho một thế hệ trẻ thành phố khát vọng, bản lĩnh, không ngừng đổi mới, sáng tạo trong lĩnh vực học tập, nghiên cứu khoa học, lao động, trách nhiệm giám nghị, biết làm dấn thân vì cộng đồng, vì cuộc sống bình yên của nhân dân với khát vọng vươn lên và kiên trì theo đuổi ước mơ, các bạn trẻ đã góp phần xây dựng thành phố có chất lượng sống tốt, văn minh, hiện đại, nghĩa tình."
24,00:07:11.440,00:07:16.880,"Đoàn Thanh niên Cộng sản Hồ Chí Minh thành phố,tên Bác Hồ kính yêu,thanh niên thành phố,Thay mặt lãnh đạo thành phố,Hội đồng bình chọn,thành phố Hồ Chí Minh ngày mai trí tuệ,cuộc sống bình yên,dân tộc Việt Nam,ý chí nghị lực,Chủ tịch Hội đồng nhân dân thành phố Hồ Chí Minh Nguyễn Thị Lệ,trách nhiệm giám nghị,thành phố Hồ Chí Minh năm 2022 đại diện,địa bàn thành phố,Lãnh đạo thành phố,thành phố Hồ Chí Minh,gương công dân,112 hồ sơ,công dân trẻ","từ 112 hồ sơ ứng cử đến từ 43 đơn vị trên địa bàn thành phố, Hội đồng bình chọn đã thống nhất chọn 12 cá nhân tiêu biểu trở thành công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 Các gương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 đại diện cho một thế hệ trẻ thành phố khát vọng, bản lĩnh, không ngừng đổi mới, sáng tạo trong lĩnh vực học tập, nghiên cứu khoa học, lao động, trách nhiệm giám nghị, biết làm dấn thân vì cộng đồng, vì cuộc sống bình yên của nhân dân với khát vọng vươn lên và kiên trì theo đuổi ước mơ, các bạn trẻ đã góp phần xây dựng thành phố có chất lượng sống tốt, văn minh, hiện đại, nghĩa tình."
25,00:07:16.880,00:07:22.200,"Đoàn Thanh niên Cộng sản Hồ Chí Minh thành phố,tên Bác Hồ kính yêu,thanh niên thành phố,Thay mặt lãnh đạo thành phố,Hội đồng bình chọn,thành phố Hồ Chí Minh ngày mai trí tuệ,cuộc sống bình yên,dân tộc Việt Nam,ý chí nghị lực,Chủ tịch Hội đồng nhân dân thành phố Hồ Chí Minh Nguyễn Thị Lệ,trách nhiệm giám nghị,thành phố Hồ Chí Minh năm 2022 đại diện,địa bàn thành phố,Lãnh đạo thành phố,thành phố Hồ Chí Minh,gương công dân,112 hồ sơ,công dân trẻ","từ 112 hồ sơ ứng cử đến từ 43 đơn vị trên địa bàn thành phố, Hội đồng bình chọn đã thống nhất chọn 12 cá nhân tiêu biểu trở thành công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 Các gương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 đại diện cho một thế hệ trẻ thành phố khát vọng, bản lĩnh, không ngừng đổi mới, sáng tạo trong lĩnh vực học tập, nghiên cứu khoa học, lao động, trách nhiệm giám nghị, biết làm dấn thân vì cộng đồng, vì cuộc sống bình yên của nhân dân với khát vọng vươn lên và kiên trì theo đuổi ước mơ, các bạn trẻ đã góp phần xây dựng thành phố có chất lượng sống tốt, văn minh, hiện đại, nghĩa tình."
26,00:07:22.200,00:07:29.520,"Đoàn Thanh niên Cộng sản Hồ Chí Minh thành phố,tên Bác Hồ kính yêu,thanh niên thành phố,Thay mặt lãnh đạo thành phố,Hội đồng bình chọn,thành phố Hồ Chí Minh ngày mai trí tuệ,cuộc sống bình yên,dân tộc Việt Nam,ý chí nghị lực,Chủ tịch Hội đồng nhân dân thành phố Hồ Chí Minh Nguyễn Thị Lệ,trách nhiệm giám nghị,thành phố Hồ Chí Minh năm 2022 đại diện,địa bàn thành phố,Lãnh đạo thành phố,thành phố Hồ Chí Minh,gương công dân,112 hồ sơ,công dân trẻ","từ 112 hồ sơ ứng cử đến từ 43 đơn vị trên địa bàn thành phố, Hội đồng bình chọn đã thống nhất chọn 12 cá nhân tiêu biểu trở thành công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 Các gương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 đại diện cho một thế hệ trẻ thành phố khát vọng, bản lĩnh, không ngừng đổi mới, sáng tạo trong lĩnh vực học tập, nghiên cứu khoa học, lao động, trách nhiệm giám nghị, biết làm dấn thân vì cộng đồng, vì cuộc sống bình yên của nhân dân với khát vọng vươn lên và kiên trì theo đuổi ước mơ, các bạn trẻ đã góp phần xây dựng thành phố có chất lượng sống tốt, văn minh, hiện đại, nghĩa tình."
27,00:07:29.520,00:07:34.360,"Đoàn Thanh niên Cộng sản Hồ Chí Minh thành phố,tên Bác Hồ kính yêu,thanh niên thành phố,Thay mặt lãnh đạo thành phố,Hội đồng bình chọn,thành phố Hồ Chí Minh ngày mai trí tuệ,cuộc sống bình yên,dân tộc Việt Nam,ý chí nghị lực,Chủ tịch Hội đồng nhân dân thành phố Hồ Chí Minh Nguyễn Thị Lệ,trách nhiệm giám nghị,thành phố Hồ Chí Minh năm 2022 đại diện,địa bàn thành phố,Lãnh đạo thành phố,thành phố Hồ Chí Minh,gương công dân,112 hồ sơ,công dân trẻ","từ 112 hồ sơ ứng cử đến từ 43 đơn vị trên địa bàn thành phố, Hội đồng bình chọn đã thống nhất chọn 12 cá nhân tiêu biểu trở thành công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 Các gương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 đại diện cho một thế hệ trẻ thành phố khát vọng, bản lĩnh, không ngừng đổi mới, sáng tạo trong lĩnh vực học tập, nghiên cứu khoa học, lao động, trách nhiệm giám nghị, biết làm dấn thân vì cộng đồng, vì cuộc sống bình yên của nhân dân với khát vọng vươn lên và kiên trì theo đuổi ước mơ, các bạn trẻ đã góp phần xây dựng thành phố có chất lượng sống tốt, văn minh, hiện đại, nghĩa tình."
28,00:07:34.360,00:07:38.800,"Đoàn Thanh niên Cộng sản Hồ Chí Minh thành phố,tên Bác Hồ kính yêu,thanh niên thành phố,Thay mặt lãnh đạo thành phố,Hội đồng bình chọn,thành phố Hồ Chí Minh ngày mai trí tuệ,cuộc sống bình yên,dân tộc Việt Nam,ý chí nghị lực,Chủ tịch Hội đồng nhân dân thành phố Hồ Chí Minh Nguyễn Thị Lệ,trách nhiệm giám nghị,thành phố Hồ Chí Minh năm 2022 đại diện,địa bàn thành phố,Lãnh đạo thành phố,thành phố Hồ Chí Minh,gương công dân,112 hồ sơ,công dân trẻ","từ 112 hồ sơ ứng cử đến từ 43 đơn vị trên địa bàn thành phố, Hội đồng bình chọn đã thống nhất chọn 12 cá nhân tiêu biểu trở thành công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 Các gương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 đại diện cho một thế hệ trẻ thành phố khát vọng, bản lĩnh, không ngừng đổi mới, sáng tạo trong lĩnh vực học tập, nghiên cứu khoa học, lao động, trách nhiệm giám nghị, biết làm dấn thân vì cộng đồng, vì cuộc sống bình yên của nhân dân với khát vọng vươn lên và kiên trì theo đuổi ước mơ, các bạn trẻ đã góp phần xây dựng thành phố có chất lượng sống tốt, văn minh, hiện đại, nghĩa tình."
29,00:07:38.800,00:07:45.360,"Đoàn Thanh niên Cộng sản Hồ Chí Minh thành phố,tên Bác Hồ kính yêu,thanh niên thành phố,Thay mặt lãnh đạo thành phố,Hội đồng bình chọn,thành phố Hồ Chí Minh ngày mai trí tuệ,cuộc sống bình yên,dân tộc Việt Nam,ý chí nghị lực,Chủ tịch Hội đồng nhân dân thành phố Hồ Chí Minh Nguyễn Thị Lệ,trách nhiệm giám nghị,thành phố Hồ Chí Minh năm 2022 đại diện,địa bàn thành phố,Lãnh đạo thành phố,thành phố Hồ Chí Minh,gương công dân,112 hồ sơ,công dân trẻ","từ 112 hồ sơ ứng cử đến từ 43 đơn vị trên địa bàn thành phố, Hội đồng bình chọn đã thống nhất chọn 12 cá nhân tiêu biểu trở thành công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 Các gương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 đại diện cho một thế hệ trẻ thành phố khát vọng, bản lĩnh, không ngừng đổi mới, sáng tạo trong lĩnh vực học tập, nghiên cứu khoa học, lao động, trách nhiệm giám nghị, biết làm dấn thân vì cộng đồng, vì cuộc sống bình yên của nhân dân với khát vọng vươn lên và kiên trì theo đuổi ước mơ, các bạn trẻ đã góp phần xây dựng thành phố có chất lượng sống tốt, văn minh, hiện đại, nghĩa tình."
30,00:07:45.360,00:07:53.360,"Đoàn Thanh niên Cộng sản Hồ Chí Minh thành phố,tên Bác Hồ kính yêu,thanh niên thành phố,Thay mặt lãnh đạo thành phố,Hội đồng bình chọn,thành phố Hồ Chí Minh ngày mai trí tuệ,cuộc sống bình yên,dân tộc Việt Nam,ý chí nghị lực,Chủ tịch Hội đồng nhân dân thành phố Hồ Chí Minh Nguyễn Thị Lệ,trách nhiệm giám nghị,thành phố Hồ Chí Minh năm 2022 đại diện,địa bàn thành phố,Lãnh đạo thành phố,thành phố Hồ Chí Minh,gương công dân,112 hồ sơ,công dân trẻ","từ 112 hồ sơ ứng cử đến từ 43 đơn vị trên địa bàn thành phố, Hội đồng bình chọn đã thống nhất chọn 12 cá nhân tiêu biểu trở thành công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 Các gương công dân trẻ tiêu biểu thành phố Hồ Chí Minh năm 2022 đại diện cho một thế hệ trẻ thành phố khát vọng, bản lĩnh, không ngừng đổi mới, sáng tạo trong lĩnh vực học tập, nghiên cứu khoa học, lao động, trách nhiệm giám nghị, biết làm dấn thân vì cộng đồng, vì cuộc sống bình yên của nhân dân với khát vọng vươn lên và kiên trì theo đuổi ước mơ, các bạn trẻ đã góp phần xây dựng thành phố có chất lượng sống tốt, văn minh, hiện đại, nghĩa tình."
