Scene number,Start,End,Keywords,Description
10,00:02:54.240,00:03:24.000,"đoạn tuyến,kinh tế cửa khẩu,tổng thể quốc gia,tiềm năng sản,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,cảng biển,quy hoạch tổng thể quốc gia,Hà Nội","thưa quý vị, sáng nay, Quốc hội tiếp tục thảo luận tại hội trường và ở tổ về Quy hoạch tổng thể quốc gia thời kỳ 2021 2030, tầm nhìn đến năm 2050."
11,00:03:24.000,00:03:28.640,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","Đại biểu cho rằng, Quy hoạch tổng thể quốc gia phải là tổng hợp, có chọn lọc, định hướng lớn để phát triển đất nước chứ không phải là bản tập hợp hay phép cộng đơn giản của các quy hoạch thành phần hoặc nhắc lại một cách cơ học chiến lược phát triển kinh tế xã hội đã được Đại hội Đảng bằng hình"
12,00:03:28.640,00:03:33.720,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
13,00:03:33.720,00:03:39.000,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
14,00:03:39.000,00:03:44.200,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
15,00:03:44.200,00:03:49.080,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
16,00:03:49.080,00:03:53.880,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
17,00:03:53.880,00:04:09.200,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
18,00:04:09.200,00:04:13.800,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
19,00:04:13.800,00:04:19.520,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
20,00:04:19.520,00:04:27.640,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
21,00:04:27.640,00:04:31.840,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
22,00:04:31.840,00:04:36.080,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
23,00:04:36.080,00:04:41.800,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
24,00:04:41.800,00:05:03.120,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
25,00:05:03.120,00:05:09.240,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
26,00:05:09.240,00:05:13.400,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
27,00:05:13.400,00:05:19.200,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
28,00:05:19.200,00:05:24.600,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
29,00:05:24.600,00:05:31.640,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
30,00:05:31.640,00:05:36.200,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
31,00:05:36.200,00:05:41.480,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
32,00:05:41.480,00:05:53.440,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
33,00:05:53.440,00:05:59.000,"đoạn tuyến,kinh tế cửa khẩu,tiềm năng sản,Hải Phòng ,hành lang kinh tế,kinh tế xã hội,an sinh xã hội,bài thành phố Hồ Chí Minh,phía Bắc,trục Bắc Nam,năm 2030,Nguyễn Chí Dũng,Đồng Nai đi,Bình Dương,Lào Cai,quy hoạch tổng thể quốc gia,tổng thể quốc gia,Đại hội 13,Bộ trưởng Kế hoạch,hướng phân vùng, Quảng Ninh,quy hoạch quốc gia,Bà Rịa Vũng Tàu,Nam,cảng biển,Hà Nội","các đại biểu cho rằng, quy hoạch tổng thể quốc gia là nhiệm vụ mới, quan trọng, chưa có tiền lệ và chưa có nhiều kinh nghiệm, nhưng đây cũng là cơ hội để đưa khát vọng, định hướng lớn về xây dựng đất nước, vì thế việc xác định các nội dung của quy hoạch phải được tính toán một cách khoa học, hợp lý, bảo đảm đường hướng chiến lược."
34,00:05:59.000,00:06:03.200,"Chủ tịch Quốc hội Vương Đình Huệ,thủ tục hành chính,chính sách phòng,Hồng Lan,dịch bệnh Covid,dự thảo nghị quyết,chuyên môn y tế,Nghị quyết số 30,ngành y tế,giấy tờ thủ tục hành chính,bảo hiểm xã hội,Y tế Đào,mặt quy trình,vật tư y tế,lực lượng tuyến đầu,trang thiết bị y tế,cơ sở y tế,cơ sở quy định Nghị quyết 30,ngày 1/1/2023","Chúng tôi cho rằng là giao thông, đất đai, năng lượng và đặc biệt là những đề liên quan đến quốc phòng an ninh."
35,00:06:03.200,00:06:31.800,"Chủ tịch Quốc hội Vương Đình Huệ,ngày 1/1/2023,dịch bệnh Covid,dự thảo nghị quyết,Nghị quyết số 30,ngành y tế,bảo hiểm xã hội,Y tế Đào,mặt quy trình,vật tư y tế,trang thiết bị y tế,thủ tục hành chính,Hồng Lan,chuyên môn y tế,giấy tờ thủ tục hành chính,lực lượng tuyến đầu,cơ sở y tế,cơ sở quy định Nghị quyết 30,chính sách phòng","Những nội dung này là vấn đề mang tính cứng của chúng ta, nó mới tốt ở trong trong cái chiến lược này."
36,00:06:31.800,00:06:37.520,"Chủ tịch Quốc hội Vương Đình Huệ,ngày 1/1/2023,dịch bệnh Covid,dự thảo nghị quyết,Nghị quyết số 30,ngành y tế,bảo hiểm xã hội,Y tế Đào,mặt quy trình,vật tư y tế,trang thiết bị y tế,thủ tục hành chính,Hồng Lan,chuyên môn y tế,giấy tờ thủ tục hành chính,lực lượng tuyến đầu,cơ sở y tế,cơ sở quy định Nghị quyết 30,chính sách phòng","Thế còn những nội dung khác mà chúng ta có thể xã hội hóa, hoặc có thể mang tính định tính như là vấn đề giáo dục, vấn đề y tế hoặc là một số vấn đề mà chúng ta có thể xã hội hóa được thì chúng ta nên xác định phương pháp là mang tính là quy hoạch mềm."
37,00:06:37.520,00:06:43.000,"Chủ tịch Quốc hội Vương Đình Huệ,ngày 1/1/2023,dịch bệnh Covid,dự thảo nghị quyết,Nghị quyết số 30,ngành y tế,bảo hiểm xã hội,Y tế Đào,mặt quy trình,vật tư y tế,trang thiết bị y tế,thủ tục hành chính,Hồng Lan,chuyên môn y tế,giấy tờ thủ tục hành chính,lực lượng tuyến đầu,cơ sở y tế,cơ sở quy định Nghị quyết 30,chính sách phòng","Quy hoạch cần lấy phương châm ưu tiên phát huy những lợi thế, tiềm năng sản có hơn là ưu tiên xây dựng, hình thành những đoạn tuyến, hành lang mới, nhất là quy hoạch các sân bay, cảng biển cần phải thận trọng và tránh lãng phí, không hiệu quả."
38,00:06:43.000,00:06:47.640,"Chủ tịch Quốc hội Vương Đình Huệ,ngày 1/1/2023,dịch bệnh Covid,dự thảo nghị quyết,Nghị quyết số 30,ngành y tế,bảo hiểm xã hội,Y tế Đào,mặt quy trình,vật tư y tế,trang thiết bị y tế,thủ tục hành chính,Hồng Lan,chuyên môn y tế,giấy tờ thủ tục hành chính,lực lượng tuyến đầu,cơ sở y tế,cơ sở quy định Nghị quyết 30,chính sách phòng",Đó.
