Scene number,Start,End,Keywords,Description
11,00:03:31.800,00:03:38.240,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
12,00:03:38.240,00:03:44.400,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
13,00:03:44.400,00:03:51.280,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
14,00:03:51.280,00:03:59.440,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
15,00:03:59.440,00:04:05.640,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
16,00:04:05.640,00:04:12.480,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
17,00:04:12.480,00:04:18.800,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
18,00:04:18.800,00:04:23.800,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
19,00:04:23.800,00:04:30.480,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
20,00:04:30.480,00:04:34.880,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
21,00:04:34.880,00:04:44.120,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
22,00:04:44.120,00:04:49.720,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
23,00:04:49.720,00:05:15.080,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
24,00:05:15.080,00:05:20.400,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
25,00:05:20.400,00:05:41.280,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
26,00:05:41.280,00:05:46.840,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
27,00:05:46.840,00:06:02.480,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
28,00:06:02.480,00:06:07.480,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
29,00:06:07.480,00:06:12.000,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
30,00:06:12.000,00:06:16.800,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
31,00:06:16.800,00:06:22.400,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
32,00:06:22.400,00:06:28.200,"Thủ tướng Chính phủ,thị trường tiền tệ,kết quả năm 2022,tổ chức tín dụng,Bí thư Thường trực,thị trường bất động sản,cơ sở lành mạnh hóa,kinh tế xã hội,miền Đông,ngành Trung ương,Nghị quyết 2,năm 2023 ý nghĩa,năm thứ 35 bản lề,thứ hai,da giày,Nghị quyết 54 và thứ ba đề nghị Chính phủ chỉ đạo,Nghị quyết Đại hội 13,kinh tế vĩ mô,Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp,Nguyễn Phú Trọng nêu,thị trường xã hội,đồng chí Phan Văn Mãi,Trung ương Đảng,năm 2023,thắng lợi Nghị quyết 24,điểm cầu thành phố Hồ Chí Minh,thành phố Hồ Chí Minh,nhiệm kỳ khóa 13","nhấn mạnh năm 2023 là năm thứ 35 bản lề, có ý nghĩa quan trọng trong việc thực hiện Nghị quyết Đại hội 13 của Đảng."
33,00:06:28.200,00:06:35.000,"đồng chí Nguyễn Văn Nên,quý vị,100 % vụ,đồng chí Lê Minh Trí,vụ án,Trung ương Đảng,năm 2022,Ủy viên Chính trị,thành phố Hồ Chí Minh,Bí thư Thành ủy thành phố Hồ Chí Minh","Trung ương đã có kết luận, Quốc hội đã có Nghị quyết về phát triển kinh tế xã hội, trong đó xác định rõ phương hướng, mục tiêu, nhiệm vụ năm 2023."
34,00:06:35.000,00:07:06.440,"Viện kiểm sát nhân dân thành phố Hồ Chí Minh phối hợp,tình hình tội phạm,mạng viễn thông,Khối lượng công việc,diện Ban Chỉ đạo Trung ương,dư luận xã hội,tổng số vụ,tỷ lệ 100 %,tính chất manh động,diện Ban Nội chính Trung ương,mạng máy tính,phương tiện điện tử,Viện kiểm sát nhân dân thành phố Hồ Chí Minh,Ban Nội chính Thành ủy","Tổng Bí thư Nguyễn Phú Trọng nêu rõ, cần chủ động đối với mọi tình huống, đặc biệt là những khó khăn, thử thách mới phát sinh, tuyệt đối không chủ quan, thỏa mãn với những kết quả, thành tích đạt được, vì mục tiêu, yêu cầu và nhiệm vụ đề ra trong năm 2023 và cả nhiệm kỳ khóa 13 là rất cao, trong khi đất nước vẫn đang phải đối mặt với không ít khó khăn, thách thức lớn, cần chú trọng củng cố, tăng cường nền tảng kinh tế vĩ mô, kiểm soát lạm phát, nâng cao năng lực nội tại và tính tự chủ của nền kinh tế trên cơ sở lành mạnh hóa, giữ vững sự phát triển ổn định, an toàn của hệ thống các tổ chức tín dụng, thị trường tiền tệ, thị trường bất động sản, thị trường chứng khoán, trái thiếu doanh nghiệp."
35,00:07:06.440,00:07:11.200,"Viện kiểm sát nhân dân thành phố Hồ Chí Minh phối hợp,tình hình tội phạm,mạng viễn thông,Khối lượng công việc,diện Ban Chỉ đạo Trung ương,dư luận xã hội,tổng số vụ,tỷ lệ 100 %,tính chất manh động,diện Ban Nội chính Trung ương,mạng máy tính,phương tiện điện tử,Viện kiểm sát nhân dân thành phố Hồ Chí Minh,Ban Nội chính Thành ủy","Đồng thời, tập trung ưu tiên cải thiện môi trường đầu tư kinh doanh, giải quyết có hiệu quả những khó khăn, hạn chế, yếu kém cả trước mắt lẫn lâu dài của nền kinh tế để giữ vững đà phục hồi, tăng trưởng nhanh và bền vững, Phát biểu tại điểm cầu thành phố Hồ Chí Minh, đồng chí Phan Văn Mãi, Ủy viên Trung ương Đảng, Phó Bí thư Thường trực Thành ủy, Chủ tịch Ủy ban nhân dân thành phố Hồ Chí Minh nêu giải pháp, kiến nghị mà thành phố Hồ Chí Minh sẽ triển khai nhằm cùng cả nước thực hiện thắng lợi các nhiệm vụ trong năm 2023."
36,00:07:11.200,00:07:16.400,"Viện kiểm sát nhân dân thành phố Hồ Chí Minh phối hợp,tình hình tội phạm,mạng viễn thông,Khối lượng công việc,diện Ban Chỉ đạo Trung ương,dư luận xã hội,tổng số vụ,tỷ lệ 100 %,tính chất manh động,diện Ban Nội chính Trung ương,mạng máy tính,phương tiện điện tử,Viện kiểm sát nhân dân thành phố Hồ Chí Minh,Ban Nội chính Thành ủy",Về kiến nghị thì tại Hội nghị này chúng tôi xin được kiến nghị có 3 ý.
