Scene number,Start,End,Keywords,Description
10,00:02:42.040,00:02:46.360,quý vị,"thưa quý vị, ngày hôm nay, kỳ họp bất thường lần thứ hai Quốc hội khóa 15 đã khai mạc trộn thể tại Nhà Quốc hội."
11,00:02:46.360,00:03:14.640,"Phạm Bình Minh Vũ Đức Đam,chức vụ Phó Thủ tướng,96,Bộ trưởng Bộ Tài nguyên và Môi trường,Bí thư Thành ủy thành phố Hải Phòng,99 phần trăm,Phạm Bình Minh,Phó Thủ tướng Chính phủ nhiệm kỳ, Lê Minh Chuẩn,Trần Lưu Quang,Trần Hồng Hà,Thủ tướng Phạm Minh Chính,483 đại biểu","Việc tổ chức kỳ họp bất thường kỳ này có ý nghĩa quan trọng nhằm xem xét, quyết định những vấn đề cấp bách, cần thiết, đáp ứng kịp thời yêu cầu của cuộc sống."
12,00:03:14.640,00:03:19.960,"Phạm Bình Minh Vũ Đức Đam,chức vụ Phó Thủ tướng,96,Bộ trưởng Bộ Tài nguyên và Môi trường,Bí thư Thành ủy thành phố Hải Phòng,99 phần trăm,Phạm Bình Minh,Phó Thủ tướng Chính phủ nhiệm kỳ, Lê Minh Chuẩn,Trần Lưu Quang,Trần Hồng Hà,Thủ tướng Phạm Minh Chính,483 đại biểu","Đáng lưu ý về công tác nhân sự, Quốc hội, xem xét cho thôi làm nhiệm vụ đại biểu Quốc hội và xem xét, phê chuẩn việc miễn nhiệm, bổ nhiệm một số thành viên Chính phủ."
13,00:03:19.960,00:03:27.640,"Phạm Bình Minh Vũ Đức Đam,chức vụ Phó Thủ tướng,96,Bộ trưởng Bộ Tài nguyên và Môi trường,Bí thư Thành ủy thành phố Hải Phòng,99 phần trăm,Phạm Bình Minh,Phó Thủ tướng Chính phủ nhiệm kỳ, Lê Minh Chuẩn,Trần Lưu Quang,Trần Hồng Hà,Thủ tướng Phạm Minh Chính,483 đại biểu","với 483 đại biểu tán thành, bằng 96,99 phần trăm Quốc hội biểu quyết thông qua Nghị quyết của Quốc hội về việc giao thôi làm nhiệm vụ đại biểu Quốc hội khóa 15 đối với các ông Phạm Bình Minh, Lê Minh Chuẩn, phê chuẩn miễn nhiệm chức vụ Phó Thủ tướng Thường trực đối với ông Phạm Bình Minh và Phó Thủ tướng với ông Vũ Đức Đam."
14,00:03:27.640,00:03:32.760,"Phạm Bình Minh Vũ Đức Đam,chức vụ Phó Thủ tướng,96,Bộ trưởng Bộ Tài nguyên và Môi trường,Bí thư Thành ủy thành phố Hải Phòng,99 phần trăm,Phạm Bình Minh,Phó Thủ tướng Chính phủ nhiệm kỳ, Lê Minh Chuẩn,Trần Lưu Quang,Trần Hồng Hà,Thủ tướng Phạm Minh Chính,483 đại biểu","với 483 đại biểu tán thành, bằng 96,99 phần trăm Quốc hội biểu quyết thông qua Nghị quyết của Quốc hội về việc giao thôi làm nhiệm vụ đại biểu Quốc hội khóa 15 đối với các ông Phạm Bình Minh, Lê Minh Chuẩn, phê chuẩn miễn nhiệm chức vụ Phó Thủ tướng Thường trực đối với ông Phạm Bình Minh và Phó Thủ tướng với ông Vũ Đức Đam."
15,00:03:32.760,00:03:37.920,"Phạm Bình Minh Vũ Đức Đam,chức vụ Phó Thủ tướng,96,Bộ trưởng Bộ Tài nguyên và Môi trường,Bí thư Thành ủy thành phố Hải Phòng,99 phần trăm,Phạm Bình Minh,Phó Thủ tướng Chính phủ nhiệm kỳ, Lê Minh Chuẩn,Trần Lưu Quang,Trần Hồng Hà,Thủ tướng Phạm Minh Chính,483 đại biểu","với 483 đại biểu tán thành, bằng 96,99 phần trăm Quốc hội biểu quyết thông qua Nghị quyết của Quốc hội về việc giao thôi làm nhiệm vụ đại biểu Quốc hội khóa 15 đối với các ông Phạm Bình Minh, Lê Minh Chuẩn, phê chuẩn miễn nhiệm chức vụ Phó Thủ tướng Thường trực đối với ông Phạm Bình Minh và Phó Thủ tướng với ông Vũ Đức Đam."
16,00:03:37.920,00:03:43.800,"Phạm Bình Minh Vũ Đức Đam,chức vụ Phó Thủ tướng,96,Bộ trưởng Bộ Tài nguyên và Môi trường,Bí thư Thành ủy thành phố Hải Phòng,99 phần trăm,Phạm Bình Minh,Phó Thủ tướng Chính phủ nhiệm kỳ, Lê Minh Chuẩn,Trần Lưu Quang,Trần Hồng Hà,Thủ tướng Phạm Minh Chính,483 đại biểu","với 483 đại biểu tán thành, bằng 96,99 phần trăm Quốc hội biểu quyết thông qua Nghị quyết của Quốc hội về việc giao thôi làm nhiệm vụ đại biểu Quốc hội khóa 15 đối với các ông Phạm Bình Minh, Lê Minh Chuẩn, phê chuẩn miễn nhiệm chức vụ Phó Thủ tướng Thường trực đối với ông Phạm Bình Minh và Phó Thủ tướng với ông Vũ Đức Đam."
17,00:03:43.800,00:03:51.000,"Phạm Bình Minh Vũ Đức Đam,chức vụ Phó Thủ tướng,96,Bộ trưởng Bộ Tài nguyên và Môi trường,Bí thư Thành ủy thành phố Hải Phòng,99 phần trăm,Phạm Bình Minh,Phó Thủ tướng Chính phủ nhiệm kỳ, Lê Minh Chuẩn,Trần Lưu Quang,Trần Hồng Hà,Thủ tướng Phạm Minh Chính,483 đại biểu","với 483 đại biểu tán thành, bằng 96,99 phần trăm Quốc hội biểu quyết thông qua Nghị quyết của Quốc hội về việc giao thôi làm nhiệm vụ đại biểu Quốc hội khóa 15 đối với các ông Phạm Bình Minh, Lê Minh Chuẩn, phê chuẩn miễn nhiệm chức vụ Phó Thủ tướng Thường trực đối với ông Phạm Bình Minh và Phó Thủ tướng với ông Vũ Đức Đam."
18,00:03:51.000,00:03:57.000,"481 đại biểu tán thành,Trần Hồng Hà,Trần Lưu Quang","Trong chiều nay, Thủ tướng Phạm Minh Chính đã trình Quốc hội đề nghị phê chuẩn bổ nhiệm nhân sự Phó Thủ tướng Chính phủ nhiệm kỳ 2021 2026 đối với ông Trần Lưu Quang, Bí thư Thành ủy thành phố Hải Phòng và ông Trần Hồng Hà, Bộ trưởng Bộ Tài nguyên và Môi trường thay thế hai Phó Thủ tướng Phạm Bình Minh Vũ Đức Đam vừa được Quốc hội miễn nhiệm."
19,00:03:57.000,00:04:02.520,"481 đại biểu tán thành,Trần Hồng Hà,Trần Lưu Quang","với 481 đại biểu tán thành, tương đương 96,98 phần trăm ông Trần Lưu Quang và Trần Hồng Hà đã được Quốc hội phê chuẩn bổ nhiệm Phó Thủ tướng Chính phủ nhiệm kỳ 2021 2026."
20,00:04:02.520,00:04:10.200,"481 đại biểu tán thành,Trần Hồng Hà,Trần Lưu Quang","với 481 đại biểu tán thành, tương đương 96,98 phần trăm ông Trần Lưu Quang và Trần Hồng Hà đã được Quốc hội phê chuẩn bổ nhiệm Phó Thủ tướng Chính phủ nhiệm kỳ 2021 2026."
21,00:04:10.200,00:04:15.000,"dự thảo Luật Khám bệnh,kế hoạch vốn,chính sách phòng,Nghị quyết số 30,ngày 1/1/2023,dịch bệnh Covid,bệnh sửa đổi,năm 2050,Quy hoạch tổng thể quốc gia thời kỳ,Tổng cục Thuế,dịch bệnh Covid 19,dự toán kinh phí","trước đó, trong phim khai mạc buổi sáng, Quốc hội đã nghe báo cáo và báo cáo thẩm tra, đánh giá việc thực hiện quy định tại Nghị quyết số 30 của Quốc hội về các chính sách phòng, chống dịch bệnh Covid 19 và Tờ trình đề xuất nội dung đưa vào Nghị quyết của Quốc hội về việc chuyển tiếp thực hiện một số chính sách theo quy định tại Nghị quyết số 30 về các chính sách phòng, chống dịch bệnh Covid 19 và cho phép tiếp tục sử dụng giấy đăng ký lưu hành thuốc, nguyên liệu làm thuốc hết thời hạn hiệu lực từ ngày 1/1/2023 mà chưa kịp gia hạn theo quy định của Luật Dược."
22,00:04:15.000,00:04:19.840,"dự thảo Luật Khám bệnh,kế hoạch vốn,chính sách phòng,Nghị quyết số 30,ngày 1/1/2023,dịch bệnh Covid,bệnh sửa đổi,năm 2050,Quy hoạch tổng thể quốc gia thời kỳ,Tổng cục Thuế,dịch bệnh Covid 19,dự toán kinh phí","trước đó, trong phim khai mạc buổi sáng, Quốc hội đã nghe báo cáo và báo cáo thẩm tra, đánh giá việc thực hiện quy định tại Nghị quyết số 30 của Quốc hội về các chính sách phòng, chống dịch bệnh Covid 19 và Tờ trình đề xuất nội dung đưa vào Nghị quyết của Quốc hội về việc chuyển tiếp thực hiện một số chính sách theo quy định tại Nghị quyết số 30 về các chính sách phòng, chống dịch bệnh Covid 19 và cho phép tiếp tục sử dụng giấy đăng ký lưu hành thuốc, nguyên liệu làm thuốc hết thời hạn hiệu lực từ ngày 1/1/2023 mà chưa kịp gia hạn theo quy định của Luật Dược."
23,00:04:19.840,00:04:25.160,"dự thảo Luật Khám bệnh,kế hoạch vốn,chính sách phòng,Nghị quyết số 30,ngày 1/1/2023,dịch bệnh Covid,bệnh sửa đổi,năm 2050,Quy hoạch tổng thể quốc gia thời kỳ,Tổng cục Thuế,dịch bệnh Covid 19,dự toán kinh phí","trước đó, trong phim khai mạc buổi sáng, Quốc hội đã nghe báo cáo và báo cáo thẩm tra, đánh giá việc thực hiện quy định tại Nghị quyết số 30 của Quốc hội về các chính sách phòng, chống dịch bệnh Covid 19 và Tờ trình đề xuất nội dung đưa vào Nghị quyết của Quốc hội về việc chuyển tiếp thực hiện một số chính sách theo quy định tại Nghị quyết số 30 về các chính sách phòng, chống dịch bệnh Covid 19 và cho phép tiếp tục sử dụng giấy đăng ký lưu hành thuốc, nguyên liệu làm thuốc hết thời hạn hiệu lực từ ngày 1/1/2023 mà chưa kịp gia hạn theo quy định của Luật Dược."
24,00:04:25.160,00:04:29.560,"dự thảo Luật Khám bệnh,kế hoạch vốn,chính sách phòng,Nghị quyết số 30,ngày 1/1/2023,dịch bệnh Covid,bệnh sửa đổi,năm 2050,Quy hoạch tổng thể quốc gia thời kỳ,Tổng cục Thuế,dịch bệnh Covid 19,dự toán kinh phí","trước đó, trong phim khai mạc buổi sáng, Quốc hội đã nghe báo cáo và báo cáo thẩm tra, đánh giá việc thực hiện quy định tại Nghị quyết số 30 của Quốc hội về các chính sách phòng, chống dịch bệnh Covid 19 và Tờ trình đề xuất nội dung đưa vào Nghị quyết của Quốc hội về việc chuyển tiếp thực hiện một số chính sách theo quy định tại Nghị quyết số 30 về các chính sách phòng, chống dịch bệnh Covid 19 và cho phép tiếp tục sử dụng giấy đăng ký lưu hành thuốc, nguyên liệu làm thuốc hết thời hạn hiệu lực từ ngày 1/1/2023 mà chưa kịp gia hạn theo quy định của Luật Dược."
25,00:04:29.560,00:04:35.520,"dự thảo Luật Khám bệnh,kế hoạch vốn,chính sách phòng,Nghị quyết số 30,ngày 1/1/2023,dịch bệnh Covid,bệnh sửa đổi,năm 2050,Quy hoạch tổng thể quốc gia thời kỳ,Tổng cục Thuế,dịch bệnh Covid 19,dự toán kinh phí","trước đó, trong phim khai mạc buổi sáng, Quốc hội đã nghe báo cáo và báo cáo thẩm tra, đánh giá việc thực hiện quy định tại Nghị quyết số 30 của Quốc hội về các chính sách phòng, chống dịch bệnh Covid 19 và Tờ trình đề xuất nội dung đưa vào Nghị quyết của Quốc hội về việc chuyển tiếp thực hiện một số chính sách theo quy định tại Nghị quyết số 30 về các chính sách phòng, chống dịch bệnh Covid 19 và cho phép tiếp tục sử dụng giấy đăng ký lưu hành thuốc, nguyên liệu làm thuốc hết thời hạn hiệu lực từ ngày 1/1/2023 mà chưa kịp gia hạn theo quy định của Luật Dược."
26,00:04:35.520,00:04:42.920,"dự thảo Luật Khám bệnh,kế hoạch vốn,chính sách phòng,Nghị quyết số 30,ngày 1/1/2023,dịch bệnh Covid,bệnh sửa đổi,năm 2050,Quy hoạch tổng thể quốc gia thời kỳ,Tổng cục Thuế,dịch bệnh Covid 19,dự toán kinh phí","trước đó, trong phim khai mạc buổi sáng, Quốc hội đã nghe báo cáo và báo cáo thẩm tra, đánh giá việc thực hiện quy định tại Nghị quyết số 30 của Quốc hội về các chính sách phòng, chống dịch bệnh Covid 19 và Tờ trình đề xuất nội dung đưa vào Nghị quyết của Quốc hội về việc chuyển tiếp thực hiện một số chính sách theo quy định tại Nghị quyết số 30 về các chính sách phòng, chống dịch bệnh Covid 19 và cho phép tiếp tục sử dụng giấy đăng ký lưu hành thuốc, nguyên liệu làm thuốc hết thời hạn hiệu lực từ ngày 1/1/2023 mà chưa kịp gia hạn theo quy định của Luật Dược."
27,00:04:42.920,00:04:48.600,"dự thảo Luật Khám bệnh,kế hoạch vốn,chính sách phòng,Nghị quyết số 30,ngày 1/1/2023,dịch bệnh Covid,bệnh sửa đổi,năm 2050,Quy hoạch tổng thể quốc gia thời kỳ,Tổng cục Thuế,dịch bệnh Covid 19,dự toán kinh phí","trước đó, trong phim khai mạc buổi sáng, Quốc hội đã nghe báo cáo và báo cáo thẩm tra, đánh giá việc thực hiện quy định tại Nghị quyết số 30 của Quốc hội về các chính sách phòng, chống dịch bệnh Covid 19 và Tờ trình đề xuất nội dung đưa vào Nghị quyết của Quốc hội về việc chuyển tiếp thực hiện một số chính sách theo quy định tại Nghị quyết số 30 về các chính sách phòng, chống dịch bệnh Covid 19 và cho phép tiếp tục sử dụng giấy đăng ký lưu hành thuốc, nguyên liệu làm thuốc hết thời hạn hiệu lực từ ngày 1/1/2023 mà chưa kịp gia hạn theo quy định của Luật Dược."
28,00:04:48.600,00:04:57.840,"dự thảo Luật Khám bệnh,kế hoạch vốn,chính sách phòng,Nghị quyết số 30,ngày 1/1/2023,dịch bệnh Covid,bệnh sửa đổi,năm 2050,Quy hoạch tổng thể quốc gia thời kỳ,Tổng cục Thuế,dịch bệnh Covid 19,dự toán kinh phí","trước đó, trong phim khai mạc buổi sáng, Quốc hội đã nghe báo cáo và báo cáo thẩm tra, đánh giá việc thực hiện quy định tại Nghị quyết số 30 của Quốc hội về các chính sách phòng, chống dịch bệnh Covid 19 và Tờ trình đề xuất nội dung đưa vào Nghị quyết của Quốc hội về việc chuyển tiếp thực hiện một số chính sách theo quy định tại Nghị quyết số 30 về các chính sách phòng, chống dịch bệnh Covid 19 và cho phép tiếp tục sử dụng giấy đăng ký lưu hành thuốc, nguyên liệu làm thuốc hết thời hạn hiệu lực từ ngày 1/1/2023 mà chưa kịp gia hạn theo quy định của Luật Dược."
29,00:04:57.840,00:05:02.200,"dự thảo Luật Khám bệnh,kế hoạch vốn,chính sách phòng,Nghị quyết số 30,ngày 1/1/2023,dịch bệnh Covid,bệnh sửa đổi,năm 2050,Quy hoạch tổng thể quốc gia thời kỳ,Tổng cục Thuế,dịch bệnh Covid 19,dự toán kinh phí","trước đó, trong phim khai mạc buổi sáng, Quốc hội đã nghe báo cáo và báo cáo thẩm tra, đánh giá việc thực hiện quy định tại Nghị quyết số 30 của Quốc hội về các chính sách phòng, chống dịch bệnh Covid 19 và Tờ trình đề xuất nội dung đưa vào Nghị quyết của Quốc hội về việc chuyển tiếp thực hiện một số chính sách theo quy định tại Nghị quyết số 30 về các chính sách phòng, chống dịch bệnh Covid 19 và cho phép tiếp tục sử dụng giấy đăng ký lưu hành thuốc, nguyên liệu làm thuốc hết thời hạn hiệu lực từ ngày 1/1/2023 mà chưa kịp gia hạn theo quy định của Luật Dược."
30,00:05:02.200,00:05:08.000,"dự thảo Luật Khám bệnh,kế hoạch vốn,chính sách phòng,Nghị quyết số 30,ngày 1/1/2023,dịch bệnh Covid,bệnh sửa đổi,năm 2050,Quy hoạch tổng thể quốc gia thời kỳ,Tổng cục Thuế,dịch bệnh Covid 19,dự toán kinh phí","trước đó, trong phim khai mạc buổi sáng, Quốc hội đã nghe báo cáo và báo cáo thẩm tra, đánh giá việc thực hiện quy định tại Nghị quyết số 30 của Quốc hội về các chính sách phòng, chống dịch bệnh Covid 19 và Tờ trình đề xuất nội dung đưa vào Nghị quyết của Quốc hội về việc chuyển tiếp thực hiện một số chính sách theo quy định tại Nghị quyết số 30 về các chính sách phòng, chống dịch bệnh Covid 19 và cho phép tiếp tục sử dụng giấy đăng ký lưu hành thuốc, nguyên liệu làm thuốc hết thời hạn hiệu lực từ ngày 1/1/2023 mà chưa kịp gia hạn theo quy định của Luật Dược."
31,00:05:08.000,00:05:12.600,"dự thảo Luật Khám bệnh,kế hoạch vốn,chính sách phòng,Nghị quyết số 30,ngày 1/1/2023,dịch bệnh Covid,bệnh sửa đổi,năm 2050,Quy hoạch tổng thể quốc gia thời kỳ,Tổng cục Thuế,dịch bệnh Covid 19,dự toán kinh phí","trước đó, trong phim khai mạc buổi sáng, Quốc hội đã nghe báo cáo và báo cáo thẩm tra, đánh giá việc thực hiện quy định tại Nghị quyết số 30 của Quốc hội về các chính sách phòng, chống dịch bệnh Covid 19 và Tờ trình đề xuất nội dung đưa vào Nghị quyết của Quốc hội về việc chuyển tiếp thực hiện một số chính sách theo quy định tại Nghị quyết số 30 về các chính sách phòng, chống dịch bệnh Covid 19 và cho phép tiếp tục sử dụng giấy đăng ký lưu hành thuốc, nguyên liệu làm thuốc hết thời hạn hiệu lực từ ngày 1/1/2023 mà chưa kịp gia hạn theo quy định của Luật Dược."
32,00:05:12.600,00:05:18.200,"dự thảo Luật Khám bệnh,kế hoạch vốn,chính sách phòng,Nghị quyết số 30,ngày 1/1/2023,dịch bệnh Covid,bệnh sửa đổi,năm 2050,Quy hoạch tổng thể quốc gia thời kỳ,Tổng cục Thuế,dịch bệnh Covid 19,dự toán kinh phí","trước đó, trong phim khai mạc buổi sáng, Quốc hội đã nghe báo cáo và báo cáo thẩm tra, đánh giá việc thực hiện quy định tại Nghị quyết số 30 của Quốc hội về các chính sách phòng, chống dịch bệnh Covid 19 và Tờ trình đề xuất nội dung đưa vào Nghị quyết của Quốc hội về việc chuyển tiếp thực hiện một số chính sách theo quy định tại Nghị quyết số 30 về các chính sách phòng, chống dịch bệnh Covid 19 và cho phép tiếp tục sử dụng giấy đăng ký lưu hành thuốc, nguyên liệu làm thuốc hết thời hạn hiệu lực từ ngày 1/1/2023 mà chưa kịp gia hạn theo quy định của Luật Dược."
33,00:05:18.200,00:05:34.400,"năm 2022,Bí thư Thành ủy thành phố Hồ Chí Minh dự,Thành ủy thành phố Hồ Chí Minh,Phan Nguyễn Như Khuê,nền tảng tư tưởng,khóa 12,ngành Tuyên giáo phận Phố đề,ngành Tuyên giáo thành phố,nhiệm vụ năm 2023,Ủy viên Chính trị,Thành ủy thành phố Hồ Chí Minh tổ chức Hội nghị tổng kết công tác,Trưởng Ban,năm 2023,đồng chí Nguyễn Văn Nên,hiệu quả Nghị quyết Trung ương 4 khóa 11,Hội nghị Trung ương 4 khóa 13 gắn","Cũng tại Hội trường, Quốc hội đã nghe Tờ trình và Báo cáo thẩm tra về Quy hoạch tổng thể quốc gia thời kỳ 2021 2030, tầm nhìn đến năm 2050, Báo cáo giải trình, tiếp thu, chỉnh lý dự thảo Luật Khám bệnh, chữa bệnh sửa đổi, Tờ trình và Báo cáo thẩm tra về việc điều chỉnh kế hoạch vốn vay năm 2022 của các địa phương, bổ sung dự toán chi thường xuyên năm 2021 nguồn vốn viện trợ không hoàn lại của nước ngoài và điều chỉnh dự toán kinh phí chưa sử dụng hết năm 2021 của Tổng cục Thuế và Tổng cục Hải quan."
34,00:05:34.400,00:05:39.600,"Thành ủy thành phố Hồ Chí Minh,Phan Nguyễn Như Khuê,nền tảng tư tưởng,khóa 12,ngành Tuyên giáo phận Phố đề,ngành Tuyên giáo thành phố,Trưởng Ban,năm 2023,hiệu quả Nghị quyết Trung ương 4 khóa 11,Hội nghị Trung ương 4 khóa 13 gắn","Sáng nay, Ban Tuyên giáo Thành ủy thành phố Hồ Chí Minh tổ chức Hội nghị tổng kết công tác Tuyên giáo năm 2022, triển khai nhiệm vụ năm 2023, đồng chí Nguyễn Văn Nên, Ủy viên Bộ Chính trị, Bí thư Thành ủy thành phố Hồ Chí Minh đến dự và phát biểu chỉ đạo."
35,00:05:39.600,00:05:45.040,"Thành ủy thành phố Hồ Chí Minh,Phan Nguyễn Như Khuê,nền tảng tư tưởng,khóa 12,ngành Tuyên giáo phận Phố đề,ngành Tuyên giáo thành phố,Trưởng Ban,năm 2023,hiệu quả Nghị quyết Trung ương 4 khóa 11,Hội nghị Trung ương 4 khóa 13 gắn","Trưởng Ban Tuyên giáo Thành ủy thành phố Hồ Chí Minh Phan Nguyễn Như Khuê cho biết, năm qua, ngành Tuyên giáo thành phố đã chủ động trong phát hiện vấn đề, kịp thời hơn trong tham mưu những nội dung mới và khó, góp phần đổi mới, nâng cao chất lượng, hiệu quả đấu tranh bảo vệ nền tảng tư tưởng của Đảng năm 2023, ngành Tuyên giáo phận Phố đề ra 6 nhiệm vụ trọng tâm nhằm tiếp tục thực hiện các giải pháp công tác tư tưởng kiên quyết, kiên trì thực hiện hiệu quả Nghị quyết Trung ương 4 khóa 11, khóa 12, Kết luận Hội nghị Trung ương 4 khóa 13 gắn với việc triển khai Kết luận 0: 1 của Bộ Chính trị về tiếp tục thực hiện Chỉ thị 0 năm về đẩy mạnh học tập và làm theo tư tưởng, đạo đức, phong cách Hồ Chí Minh"
36,00:05:45.040,00:05:49.600,"Thành ủy thành phố Hồ Chí Minh,Phan Nguyễn Như Khuê,nền tảng tư tưởng,khóa 12,ngành Tuyên giáo phận Phố đề,ngành Tuyên giáo thành phố,Trưởng Ban,năm 2023,hiệu quả Nghị quyết Trung ương 4 khóa 11,Hội nghị Trung ương 4 khóa 13 gắn","Trưởng Ban Tuyên giáo Thành ủy thành phố Hồ Chí Minh Phan Nguyễn Như Khuê cho biết, năm qua, ngành Tuyên giáo thành phố đã chủ động trong phát hiện vấn đề, kịp thời hơn trong tham mưu những nội dung mới và khó, góp phần đổi mới, nâng cao chất lượng, hiệu quả đấu tranh bảo vệ nền tảng tư tưởng của Đảng năm 2023, ngành Tuyên giáo phận Phố đề ra 6 nhiệm vụ trọng tâm nhằm tiếp tục thực hiện các giải pháp công tác tư tưởng kiên quyết, kiên trì thực hiện hiệu quả Nghị quyết Trung ương 4 khóa 11, khóa 12, Kết luận Hội nghị Trung ương 4 khóa 13 gắn với việc triển khai Kết luận 0: 1 của Bộ Chính trị về tiếp tục thực hiện Chỉ thị 0 năm về đẩy mạnh học tập và làm theo tư tưởng, đạo đức, phong cách Hồ Chí Minh"
37,00:05:49.600,00:05:55.160,"Thành ủy thành phố Hồ Chí Minh,Phan Nguyễn Như Khuê,nền tảng tư tưởng,khóa 12,ngành Tuyên giáo phận Phố đề,ngành Tuyên giáo thành phố,Trưởng Ban,năm 2023,hiệu quả Nghị quyết Trung ương 4 khóa 11,Hội nghị Trung ương 4 khóa 13 gắn","Trưởng Ban Tuyên giáo Thành ủy thành phố Hồ Chí Minh Phan Nguyễn Như Khuê cho biết, năm qua, ngành Tuyên giáo thành phố đã chủ động trong phát hiện vấn đề, kịp thời hơn trong tham mưu những nội dung mới và khó, góp phần đổi mới, nâng cao chất lượng, hiệu quả đấu tranh bảo vệ nền tảng tư tưởng của Đảng năm 2023, ngành Tuyên giáo phận Phố đề ra 6 nhiệm vụ trọng tâm nhằm tiếp tục thực hiện các giải pháp công tác tư tưởng kiên quyết, kiên trì thực hiện hiệu quả Nghị quyết Trung ương 4 khóa 11, khóa 12, Kết luận Hội nghị Trung ương 4 khóa 13 gắn với việc triển khai Kết luận 0: 1 của Bộ Chính trị về tiếp tục thực hiện Chỉ thị 0 năm về đẩy mạnh học tập và làm theo tư tưởng, đạo đức, phong cách Hồ Chí Minh"
38,00:05:55.160,00:05:59.400,"Thành ủy thành phố Hồ Chí Minh,Phan Nguyễn Như Khuê,nền tảng tư tưởng,khóa 12,ngành Tuyên giáo phận Phố đề,ngành Tuyên giáo thành phố,Trưởng Ban,năm 2023,hiệu quả Nghị quyết Trung ương 4 khóa 11,Hội nghị Trung ương 4 khóa 13 gắn","Trưởng Ban Tuyên giáo Thành ủy thành phố Hồ Chí Minh Phan Nguyễn Như Khuê cho biết, năm qua, ngành Tuyên giáo thành phố đã chủ động trong phát hiện vấn đề, kịp thời hơn trong tham mưu những nội dung mới và khó, góp phần đổi mới, nâng cao chất lượng, hiệu quả đấu tranh bảo vệ nền tảng tư tưởng của Đảng năm 2023, ngành Tuyên giáo phận Phố đề ra 6 nhiệm vụ trọng tâm nhằm tiếp tục thực hiện các giải pháp công tác tư tưởng kiên quyết, kiên trì thực hiện hiệu quả Nghị quyết Trung ương 4 khóa 11, khóa 12, Kết luận Hội nghị Trung ương 4 khóa 13 gắn với việc triển khai Kết luận 0: 1 của Bộ Chính trị về tiếp tục thực hiện Chỉ thị 0 năm về đẩy mạnh học tập và làm theo tư tưởng, đạo đức, phong cách Hồ Chí Minh"
